sample	best_panel
25B2035	3549481_Covered.2bit
25P22255	3528311_Covered.2bit
25P22938	3528311_Covered.2bit
25P23031	3528311_Covered.2bit
25P23211	3528311_Covered.2bit
25P23217	3528311_Covered.2bit
25P23552	3528311_Covered.2bit
25P28393	3528311_Covered.2bit
25P28420	3528311_Covered.2bit
25P28451	3528311_Covered.2bit
25P28502	3528311_Covered.2bit
25P28505	3528311_Covered.2bit
25P29214	3528311_Covered.2bit
25P30009	3528311_Covered.2bit
25P30189	3528311_Covered.2bit
26P3193	3549481_Covered.2bit
26P3222	3549481_Covered.2bit
26P3463	3549481_Covered.2bit
26P3625	3549481_Covered.2bit
26P3628	3549481_Covered.2bit
26P3731	3549481_Covered.2bit
26P3732	3549481_Covered.2bit
26P3733	3549481_Covered.2bit
26P3877	3549481_Covered.2bit
26P3903	3549481_Covered.2bit
26P3923	3549481_Covered.2bit
26P4034	3549481_Covered.2bit
26P4039	3549481_Covered.2bit
CTC7275DS	None
CTC7276DS	None
CTC7277DS	None
LIC1674-24	HF3.ROI.2bit
LIC1674-24	HF3.ROI.2bit
LIC1686-24	HF3.ROI.2bit
LIC1686-24	HF3.ROI.2bit
LIC1711-24	HF3.ROI.2bit
LIC1711-24	HF3.ROI.2bit
LIC1734-24	HF3.ROI.2bit
LIC1734-24	HF3.ROI.2bit
LIC1736-24	HF3.ROI.2bit
LIC1736-24	HF3.ROI.2bit
LIC1737-24	HF3.ROI.2bit
LIC1737-24	HF3.ROI.2bit
LIC1738-24	HF3.ROI.2bit
LIC1738-24	HF3.ROI.2bit
LIC1739-24	HF3.ROI.2bit
LIC1739-24	HF3.ROI.2bit
LIC1740-24	HF3.ROI.2bit
LIC1740-24	HF3.ROI.2bit
LIC1742-24	HF3.ROI.2bit
LIC1742-24	HF3.ROI.2bit
RB23417	gendiag_85.CDS.2bit
RB23418	gendiag_85.CDS.2bit
RB23422	gendiag_85.CDS.2bit
RB23423	gendiag_85.CDS.2bit
RB23424	gendiag_85.CDS.2bit
RB23431	gendiag_85.CDS.2bit
RB23432	gendiag_85.CDS.2bit
RB23434	gendiag_85.CDS.2bit
RB23436	gendiag_85.CDS.2bit
RB23437	gendiag_85.CDS.2bit
RB23438	gendiag_85.CDS.2bit
RB23439	gendiag_85.CDS.2bit
RB23440	gendiag_85.CDS.2bit
RB23441	gendiag_85.CDS.2bit
SEAP-RAS-3	3549481_Covered.2bit
SEAP-RAS-4	3549481_Covered.2bit
